Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Germany,"82,726,626","381,446.00","2,834,409","3,999,407",48.3,217,1.411,"1,156.88"
Ghana,"25,904,598","250,930.40","1,185,544","350,360",13.5,103,0.296,609.375
Gibraltar,"2,931",92.9,540,"2,858",975.2,32,5.293,62.092
Greece,"11,127,990","338,173.60","2,005,619","1,100,836",98.9,33,0.549,422.298
Greenland,"56,987","2,553,124.80","20,509,137","1,743,205","30,589.50",0,0.085,14.176
Grenada,"105,897","4,940.30","23,651","4,560",43.1,21,0.193,18.889
Guatemala,"15,468,203","114,064.00","553,819","228,117",14.7,136,0.412,451.989
Guernsey,"162,018","3,847.10","27,542","2,567",15.8,42,0.093,23.546
Guinea,"11,745,189","253,973.80","1,208,210","291,823",24.8,46,0.242,782.8
Guinea-Bissau,"1,704,255","53,448.20","255,359","43,072",25.3,32,0.169,41.2
Guyana,"799,613","220,946.80","1,038,190","335,447",419.5,4,0.323,64.849
Haiti,"10,317,461","47,428.80","234,347","31,071",3,218,0.133,46.726
Honduras,"8,097,688","152,913.80","740,585","221,125",27.3,53,0.299,"1,120.90"
Hungary,"9,954,941","93,010.20","635,615","593,505",59.6,107,0.934,339.271
Iceland *,"329,535","177,165.60","1,943,492","11,371",34.5,2,0.006,2.253
India,"1,252,139,596","3,439,402.80","17,443,496","11,190,967",8.9,364,0.642,"2,573.65"
Indonesia,"249,865,631","5,261,055.00","24,692,908","4,279,611",17.1,47,0.173,"3,335.48"
Iran,"77,447,168","1,697,124.20","9,385,673","7,129,659",92.1,46,0.76,"26,111.01"
Iraq,"33,765,232","436,744.40","2,430,013","5,399,462",159.9,77,2.222,"38,298.27"
Ireland,"4,627,173","108,706.80","841,705","393,685",85.1,43,0.468,160.263
Isle of Man,"85,888","4,504.90","35,720","4,369",50.9,19,0.122,47.292
Israel,"7,733,144","26,118.20","142,977","769,752",99.5,296,5.384,332.325
Italy,"60,990,277","457,104.20","2,864,154","5,480,400",89.9,133,1.913,"1,278.14"
Jamaica,"2,783,888","50,999.10","250,246","83,076",29.8,55,0.332,101.979
