Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Cook Islands,"20,629","31,185.60","152,176","10,210",494.9,1,0.067,2.486
Costa Rica,"4,872,166","65,590.90","311,438","197,960",40.6,74,0.636,308.302
Côte d'Ivoire,"20,316,086","333,012.60","1,572,073","393,664",19.4,61,0.25,988.432
Croatia,"4,289,714","88,121.90","574,868","401,697",93.6,49,0.699,147.993
Cuba,"11,265,629","232,897.60","1,170,500","248,402",22,48,0.212,"1,950.68"
Cyprus,"1,141,166","22,890.50","130,428","114,813",100.6,50,0.88,98.459
Czechia,"10,702,197","78,874.10","566,696","656,249",61.3,136,1.158,134.651
Denmark,"5,619,096","87,094.60","722,229","296,792",52.8,65,0.411,"1,117.77"
Djibouti,"872,932","26,600.20","127,060","11,476",13.1,33,0.09,62.98
Dominica,"72,003","4,588.30","22,261","1,441",20,16,0.065,20.366
Dominican Republic,"10,403,761","122,782.60","607,953","189,684",18.2,85,0.312,128.514
East Timor,"1,132,879","28,113.10","133,076","16,165",14.3,40,0.121,88.439
Ecuador,"15,737,878","364,048.30","1,704,444","718,253",45.6,43,0.421,"1,987.49"
Egypt,"82,056,378","1,070,643.50","5,592,368","4,003,268",48.8,77,0.716,"8,873.91"
El Salvador,"6,340,454","25,274.70","121,617","71,603",11.3,251,0.589,239.211
Equatorial Guinea,"757,014","39,941.90","187,059","48,269",63.8,19,0.258,597.981
Eritrea,"6,333,135","159,738.10","774,760","15,417",2.4,40,0.02,380.466
Estonia,"1,287,251","70,479.00","628,821","181,595",141.1,18,0.289,"2,686.73"
Ethiopia,"94,100,756","1,129,896.20","5,352,130","563,326",6,83,0.105,"1,118.32"
Falkland Islands,"2,932","46,614.20","349,498","25,647","8,747.20",0,0.073,18.601
Faroe Islands,"49,469","6,674.80","65,794","10,242",207,7,0.156,18.036
Federated States of Micronesia,"103,549","96,197.20","454,057","23,296",225,1,0.051,12.601
Fiji,"881,065","214,078.80","1,051,043","13,686",15.5,4,0.013,47.074
Finland *,"5,426,323","390,902.20","4,151,991","1,079,388",198.9,14,0.26,"1,631.33"
France,"66,673,000","1,197,331.80","7,108,283","5,919,306",88.8,56,0.833,"5,892.44"
Gabon,"1,671,711","282,913.60","1,324,236","434,232",259.8,6,0.328,"2,974.14"
Georgia,"4,340,895","75,781.20","475,895","149,734",34.5,57,0.315,278.077
Germany,"82,726,626","381,446.00","2,834,409","3,076,610",37.2,217,1.085,"1,853.51"
Ghana,"25,904,598","250,930.40","1,185,544","330,607",12.8,103,0.279,430.902
Gibraltar,"2,931",92.9,540,"2,286",780,32,4.233,49.236
Greece,"11,127,990","338,173.60","2,005,619","837,235",75.2,33,0.417,345.65
Greenland,"56,987","2,553,124.80","20,509,137","1,503,780","26,388.10",0,0.073,14.318
Grenada,"105,897","4,940.30","23,651","2,771",26.2,21,0.117,15.169
Guatemala,"15,468,203","114,064.00","553,819","200,327",13,136,0.362,283.242
Guernsey,"162,018","3,847.10","27,542",996,6.1,42,0.036,19.758
Guinea,"11,745,189","253,973.80","1,208,210","305,441",26,46,0.253,731.493
Guinea-Bissau,"1,704,255","53,448.20","255,359","31,700",18.6,32,0.124,60.064
Guyana,"799,613","220,946.80","1,038,190","190,564",238.3,4,0.184,88.627
Haiti,"10,317,461","47,428.80","234,347","20,768",2,218,0.089,79.351
Honduras,"8,097,688","152,913.80","740,585","206,093",25.5,53,0.278,443.52
Hungary,"9,954,941","93,010.20","635,615","453,049",45.5,107,0.713,275.823
Iceland *,"329,535","177,165.60","1,943,492","183,312",556.3,2,0.094,285.666
India,"1,252,139,596","3,439,402.80","17,443,496","12,673,942",10.1,364,0.727,"5,544.58"
Indonesia,"249,865,631","5,261,055.00","24,692,908","3,765,140",15.1,47,0.152,"3,656.58"
Iran,"77,447,168","1,697,124.20","9,385,673","7,345,711",94.8,46,0.783,"35,029.68"
Iraq,"33,765,232","436,744.40","2,430,013","5,036,942",149.2,77,2.073,"39,247.02"
Ireland,"4,627,173","108,706.80","841,705","414,824",89.6,43,0.493,164.027
Isle of Man,"85,888","4,504.90","35,720","3,781",44,19,0.106,61.576
Israel,"7,733,144","26,118.20","142,977","843,989",109.1,296,5.903,437.212
Italy,"60,990,277","457,104.20","2,864,154","5,684,185",93.2,133,1.985,"4,970.21"
Jamaica,"2,783,888","50,999.10","250,246","72,391",26,55,0.289,128.32
Japan,"127,143,577","762,590.30","4,416,825","3,821,831",30.1,167,0.865,863.532
Jersey,"99,500","2,404.90","17,059","2,947",29.6,41,0.173,63.694
Jordan,"7,273,799","89,143.10","486,258","369,581",50.8,82,0.76,274.128
Kazakhstan,"16,440,586","2,751,305.60","19,176,002","5,569,858",338.8,6,0.29,"56,684.88"
Kenya,"44,353,691","595,242.00","2,787,554","791,281",17.8,75,0.284,292.93
Kiribati,"102,351","76,827.20","360,207","20,500",200.3,1,0.057,5.802
Kuwait,"3,368,572","24,748.90","132,346","846,353",251.2,136,6.395,"18,368.68"
Kyrgyzstan,"5,547,548","198,632.80","1,233,225","331,308",59.7,28,0.269,127.96
Laos,"6,769,727","229,731.80","1,132,801","163,894",24.2,29,0.145,147.719
Latvia,"2,050,317","76,660.20","651,138","128,107",62.5,27,0.197,392.149
Lebanon,"4,821,971","14,837.10","83,331","229,417",47.6,325,2.753,252.771
Lesotho,"2,074,465","30,548.60","163,853","30,815",14.9,68,0.188,34.765
Liberia,"4,294,077","108,550.20","511,067","71,515",16.7,40,0.14,39.638
Libya,"6,201,521","1,725,328.80","9,081,126","2,141,715",345.4,4,0.236,"9,196.60"
Liechtenstein,"36,925",160.5,"1,100","1,856",50.3,230,1.687,27.768
Lithuania,"3,016,933","67,149.90","547,681","127,114",42.1,45,0.232,117.39
Luxemburg,"576,200","2,600.00","18,698","68,821",119.4,222,3.681,"1,320.28"
Macedonia,"2,107,158","25,465.10","158,425","89,692",42.6,83,0.566,395.925
Madagascar,"22,924,851","716,425.90","3,550,500","374,743",16.3,32,0.106,149.277
Malawi,"16,362,567","118,595.80","569,995","93,598",5.7,138,0.164,77.77
Malaysia,"29,716,965","431,990.80","2,026,687","1,494,360",50.3,69,0.737,"6,571.61"
Maldives,"345,023","114,578.90","537,431","76,455",221.6,3,0.142,42.886
Mali,"15,301,650","1,252,492.70","6,144,111","853,252",55.8,12,0.139,265.524
Malta,"429,004","4,276.50","24,615","34,583",80.6,100,1.405,173.642
Marshall Islands,"52,634","113,559.70","538,286","24,191",459.6,0,0.045,24.2
Mauritania,"3,889,880","1,053,650.80","5,253,329","948,592",243.9,4,0.181,103.562
Mauritius,"1,244,403","19,902.60","97,891","25,082",20.2,63,0.256,116.634
Mexico,"122,332,399","2,251,111.80","11,538,499","6,128,212",50.1,54,0.531,"12,972.36"
Moldova,"3,487,204","33,849.80","231,497","53,682",15.4,103,0.232,123.526
Monaco,"37,831",81.4,522,"2,639",69.8,465,5.055,182.158
Mongolia,"2,839,073","1,565,236.30","10,638,984","2,247,874",791.8,2,0.211,"13,337.51"
Montenegro,"621,383","15,866.70","100,416","52,680",84.8,39,0.525,118.298
Montserrat,"5,091","2,247.20","10,963",160,31.4,2,0.015,3.19
Morocco,"33,008,150","746,956.60","4,000,044","1,542,983",46.7,44,0.386,296.566
Mozambique,"25,833,752","856,080.60","4,203,074","612,654",23.7,30,0.146,141.055
Myanmar,"53,259,018","771,113.00","3,850,372","1,024,627",19.2,69,0.266,616.333
Namibia,"2,303,315","856,973.70","4,328,812","420,767",182.7,3,0.097,98.306
Nauru,"10,051","1,953.40","9,151","1,094",108.9,5,0.12,36.033
Nepal,"27,797,457","147,565.90","781,735","184,929",6.7,188,0.237,61.491
New Zealand *,"4,505,761","449,679.90","2,808,059","328,208",72.8,10,0.117,332.582
Nicaragua,"6,080,478","141,850.90","680,458","103,491",17,43,0.152,"4,875.04"
Niger,"17,831,270","1,180,909.00","5,791,250","550,392",30.9,15,0.095,"2,685.93"
Nigeria,"173,615,345","927,783.20","4,403,981","1,084,101",6.2,187,0.246,"11,618.59"
Niue,"1,344","3,187.50","15,765",460,342.4,0,0.029,0.876
North Korea,"24,895,480","150,501.80","915,250","32,782",1.3,165,0.036,97.451
Norway *,"5,042,671","627,472.90","5,304,966","975,372",193.4,8,0.184,"2,716.67"
Oman,"3,632,444","361,035.60","1,803,577","1,281,789",352.9,10,0.711,"7,717.06"
Pakistan,"182,142,594","891,973.30","4,804,729","1,765,077",9.7,204,0.367,"2,022.00"
Palau,"20,918","3,908.90","18,393",540,25.8,5,0.029,20.222
Palestine,"4,326,295","6,973.10","38,279","194,371",44.9,620,5.078,176.011
Panama,"3,864,170","132,164.80","625,110","133,057",34.4,29,0.213,254.542
Papua New Guinea,"7,321,262","1,185,376.60","5,579,447","420,445",57.4,6,0.075,"2,667.13"
Paraguay,"6,802,295","399,544.50","2,031,783","642,590",94.5,17,0.316,194.92
Peru,"30,375,603","2,141,541.20","10,213,070","1,990,956",65.5,14,0.195,992.698
Philippines,"98,393,574","1,008,019.50","4,810,074","590,736",6,98,0.123,234.16
Pitcairn Islands,56,714.8,"3,671",354,"6,313.60",0,0.096,0.212
Poland,"38,216,635","322,760.40","2,444,965","2,500,159",65.4,118,1.023,"4,066.91"
Portugal,"10,608,156","165,258.60","985,381","1,295,436",122.1,64,1.315,452.062
Qatar,"2,168,673","22,716.50","117,368","1,000,549",461.4,95,8.525,"14,505.85"
Republic of China,"23,329,772","88,451.40","450,704","749,725",32.1,264,1.663,194.981
Republic of Kosovo,"1,884,000","10,905.30","68,862","48,813",25.9,173,0.709,109.904
Romania,"21,698,585","243,658.30","1,624,832","726,592",33.5,89,0.447,520.016
Russian Federation *,"142,833,689","18,310,431.20","176,128,599","45,758,423",320.4,8,0.26,"45,816.63"
Rwanda,"11,776,522","25,273.70","118,337","28,744",2.4,466,0.243,84.711
Sahrawi Arab Democratic Republic,"513,000","79,524.40","407,247","79,814",155.6,6,0.196,4.529
"Saint Helena, Ascension and Tristan da Cunha","4,255","12,518.10","68,328","2,593",609.5,0,0.038,7.197
Saint Kitts and Nevis,"54,191","3,596.40","17,603","3,796",70,15,0.216,42.639
Saint Lucia,"182,273","4,418.20","21,277","6,303",34.6,41,0.296,34.05
Saint Vincent and the Grenadines,"109,373","6,500.30","31,203","1,651",15.1,17,0.053,20.612
Samoa,"190,372","12,891.40","62,053","2,015",10.6,15,0.032,6.8
San Marino,"31,448",61.1,390,"3,944",125.4,515,10.113,74.467
São Tomé and Príncipe,"192,993","16,487.00","77,171","14,124",73.2,12,0.183,24.947
Saudi Arabia,"28,828,870","2,048,615.40","10,493,424","8,140,293",282.4,14,0.776,"14,848.29"
Senegal,"14,133,280","209,182.20","1,009,782","181,861",12.9,68,0.18,231.419
Serbia,"9,510,506","77,606.40","503,628","487,725",51.3,123,0.968,239.207
Seychelles,"92,838","53,540.20","252,639","21,543",232.1,2,0.085,39.375
Sierra Leone,"6,092,075","83,542.20","395,063","99,614",16.4,73,0.252,293.235
Singapore,"5,411,737","1,660.70","7,771","205,782",38,"3,259",26.481,566.78
Slovakia,"5,450,223","49,025.10","345,030","233,871",42.9,111,0.678,139.025
Slovenia,"2,071,997","20,465.90","137,180","103,045",49.7,101,0.751,194.65
Solomon Islands,"561,231","243,025.00","1,151,870","21,180",37.7,2,0.018,16.237
Somalia,"10,495,583","702,042.10","3,310,168","457,126",43.6,15,0.138,29.603
South Africa,"52,776,130","1,291,624.90","6,917,228","2,499,227",47.4,41,0.361,"1,180.06"
South Georgia and South Sandwich Islands,30,"35,864.10","298,544","46,844","1,561,469.00",0,0.157,3.613
South Korea,"49,262,698","187,490.50","1,079,019","2,035,590",41.3,263,1.887,373.908
South Sudan,"11,296,173","652,906.10","3,081,847","345,270",30.6,17,0.112,"1,170.70"
Spain,"46,926,963","627,177.80","3,795,560","4,895,948",104.3,75,1.29,"2,143.94"
Sri Lanka,"21,273,228","97,617.70","460,992","120,101",5.6,218,0.261,274.931
Sudan,"37,964,306","1,878,267.50","9,153,141","664,213",17.5,20,0.073,"4,654.92"
Suriname,"539,276","153,523.50","720,461","142,678",264.6,4,0.198,65.309
Swaziland,"1,249,514","17,363.20","90,623","41,632",33.3,72,0.459,43.148
Sweden *,"9,571,105","533,366.60","5,333,127","1,198,739",125.2,18,0.225,"1,183.44"
Switzerland,"8,077,833","41,280.70","280,173","339,606",42,196,1.212,116.05
Syria,"21,898,061","190,454.90","1,083,867","385,579",17.6,115,0.356,"2,851.45"
Tajikistan,"8,207,834","141,212.90","840,407","199,754",24.3,58,0.238,126.889
Tanzania,"49,253,126","983,898.60","4,636,397","799,133",16.2,50,0.172,144.736
Thailand,"67,010,502","624,696.20","3,018,244","2,077,005",31,107,0.688,437.414
The Bahamas,"377,374","301,746.00","1,541,162","70,022",185.5,1,0.045,104.567
The Gambia,"1,849,285","12,980.40","62,452","12,699",6.9,142,0.203,35.171
The Netherlands,"17,010,800","64,537.80","447,329","2,326,395",136.8,264,5.201,"28,247.36"
Togo,"6,816,982","57,968.60","274,275","40,744",6,118,0.149,64.76
Tokelau,"1,195","6,936.70","32,863","2,126","1,779.50",0,0.065,0.572
Tonga,"105,323","38,879.70","193,325","3,690",35,3,0.019,105.185
Trinidad and Tobago,"1,341,151","21,673.50","103,179","206,596",154,62,2.002,"3,096.97"
Tunisia,"10,996,515","189,248.70","1,069,029","560,631",51,58,0.524,"1,153.79"
Turkey,"74,932,641","859,471.30","5,156,494","3,847,552",51.3,87,0.746,335.012
Turkmenistan,"5,240,072","498,885.90","2,997,823","1,308,958",249.8,11,0.437,"14,583.31"
Turks and Caicos Islands,"33,098","17,245.20","86,603","4,228",127.7,2,0.049,28.232
Tuvalu,"9,876","27,357.50","129,173","6,393",647.3,0,0.049,2.896
Uganda,"37,578,876","241,510.60","1,130,466","235,825",6.3,156,0.209,747.582
Ukraine,"45,238,805","640,067.50","4,516,234","1,358,605",30,71,0.301,"11,695.25"
United Arab Emirates,"9,346,129","103,814.60","531,409","1,695,643",181.4,90,3.191,"2,676.30"
United Kingdom,"65,097,000","404,840.90","3,255,273","3,853,983",59.2,161,1.184,"1,127.13"
United States of America *,"320,050,716","10,366,104.10","70,936,543","63,933,069",199.8,31,0.901,"10,931.06"
Uruguay,"3,407,062","201,046.00","1,118,140","344,668",101.2,17,0.308,235.561
Uzbekistan,"28,934,102","447,902.10","2,795,159","763,463",26.4,65,0.273,"2,251.29"
Vanuatu,"252,763","126,677.10","617,090","15,915",63,2,0.026,496.118
Vatican City,799,0.5,2,223,278.9,"1,614",111.418,127.17
Venezuela,"30,405,207","1,022,688.30","4,831,326","6,199,338",203.9,30,1.283,"94,223.59"
Vietnam,"91,679,733","486,799.50","2,367,086","1,770,970",19.3,188,0.748,"4,352.48"
Yemen,"24,407,381","522,927.90","2,539,756","539,638",22.1,47,0.212,"8,429.85"
Zambia,"14,538,640","750,509.80","3,611,180","355,922",24.5,19,0.099,276.563
Zimbabwe,"14,149,648","390,597.50","1,931,122","269,872",19.1,36,0.14,119.898
