Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Afghanistan,"30,551,674","641,728.80","3,602,817","689,900",22.6,48,0.191,184.082
Albania,"3,173,271","32,713.30","201,976","103,338",32.6,97,0.512,205.966
Algeria,"39,208,194","2,338,364.50","12,422,022","5,099,749",130.1,17,0.411,"24,674.68"
Andorra,"79,218",465.7,"2,952","10,151",128.1,170,3.439,128.254
Angola,"21,471,618","1,282,915.80","6,149,738","1,121,118",52.2,17,0.182,"11,700.45"
Anguilla,143,"4,387.90","21,604","1,747","12,220.00",0,0.081,23.032
Antigua and Barbuda,"89,985","7,500.20","36,701","6,815",75.7,12,0.186,43.344
Argentina,"41,446,246","2,921,020.60","16,951,936","5,639,261",136.1,14,0.333,"10,065.28"
Armenia,"2,976,566","29,732.30","181,392","49,663",16.7,100,0.274,"1,078.22"
Australia *,"23,342,553","8,616,992.90","44,911,459","4,232,901",181.3,3,0.094,"5,649.30"
Austria,"8,495,145","83,949.80","578,225","370,849",43.7,101,0.641,249.11
Azerbaijan,"9,413,420","99,071.20","604,228","294,932",31.3,95,0.488,310.204
Bahrain,"1,332,171","5,812.80","30,209","258,894",194.3,229,8.57,"1,482.54"
Bangladesh,"156,594,962","152,540.60","777,893","380,962",2.4,"1,027",0.49,311.181
Barbados,"284,644","3,973.40","19,090","11,333",39.8,72,0.594,74.465
Belarus,"9,356,678","207,568.20","1,620,822","404,947",43.3,45,0.25,"2,405.47"
Belgium,"11,104,476","32,106.60","235,207","1,132,224",102,346,4.814,"2,199.37"
Belize,"368,310","34,566.00","169,079","27,688",75.2,11,0.164,245.176
Benin,"10,323,474","117,848.20","559,252","72,257",7,88,0.129,351.321
Bermuda,"65,341","2,996.10","16,533","4,010",61.4,22,0.243,41.497
Bhutan,"753,947","38,801.70","203,948","31,273",41.5,19,0.153,50.108
Bolivia,"10,671,200","1,083,744.20","5,296,078","1,050,223",98.4,10,0.198,216.67
Bosnia and Herzegovina,"3,829,307","51,220.50","332,015","133,765",34.9,75,0.403,128.758
Botswana,"2,021,144","578,145.90","2,918,458","345,591",171,3,0.118,91.711
Brazil,"205,361,925","8,732,227.20","41,997,313","13,453,668",65.5,24,0.32,"3,336.78"
British Indian Ocean Territory,"3,000","14,293.00","67,268","5,789","1,929.60",0,0.086,25.278
British Virgin Islands,"28,341","5,212.30","25,700","1,942",68.5,5,0.076,38.325
Brunei,"417,784","6,916.80","32,497","67,879",162.5,60,2.089,660.771
Bulgaria,"7,222,943","117,350.20","743,429","278,276",38.5,62,0.374,97.716
Burkina Faso,"16,934,839","273,373.20","1,308,690","150,863",8.9,62,0.115,125.136
Burundi,"10,162,532","26,759.10","125,445","19,283",1.9,380,0.154,21.442
Cambodia,"15,135,169","203,462.60","974,710","112,887",7.5,74,0.116,383.611
Cameroon,"22,253,959","474,637.60","2,233,588","346,735",15.6,47,0.155,"1,574.30"
Canada *,"35,181,704","12,764,781.20","114,007,774","43,487,301","1,236.10",3,0.381,"2,680.54"
Cape Verde,"498,897","63,590.10","309,233","35,323",70.8,8,0.114,44.156
Cayman Islands,"58,435","7,377.10","36,579","9,806",167.8,8,0.268,92.852
Central African Republic,"4,616,417","617,732.90","2,910,438","324,598",70.3,7,0.112,"1,361.53"
Chad,"12,825,314","1,273,903.00","6,190,293","511,748",39.9,10,0.083,"4,605.32"
Chile,"17,619,708","1,015,315.80","6,290,852","1,461,441",82.9,17,0.232,591.973
China,"1,385,566,537","9,753,004.90","56,838,759","21,186,131",15.3,142,0.373,"10,650.56"
Colombia,"48,321,405","1,233,902.90","5,801,569","1,579,982",32.7,39,0.272,"1,307.90"
Comoros,"734,917","14,181.00","67,801","8,476",11.5,52,0.125,6.37
Congo-Brazzaville,"4,447,632","346,685.60","1,623,921","355,196",79.9,13,0.219,"2,549.76"
Congo-Kinshasa,"67,513,677","2,330,946.60","10,952,157","1,687,635",25,29,0.154,188.002
