Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Afghanistan,"30,551,674","641,728.80","3,602,817","307,875",10.1,48,0.085,246.571
Albania,"3,173,271","32,713.30","201,976","83,812",26.4,97,0.415,400.865
Algeria,"39,208,194","2,338,364.50","12,422,022","4,413,501",112.6,17,0.355,"33,634.05"
Andorra,"79,218",465.7,"2,952","8,842",111.6,170,2.995,113.978
Angola,"21,471,618","1,282,915.80","6,149,738","541,323",25.2,17,0.088,"10,032.47"
Anguilla,143,"4,387.90","21,604","1,515","10,592.00",0,0.07,15.139
Antigua and Barbuda,"89,985","7,500.20","36,701","5,566",61.9,12,0.152,40.077
Argentina,"41,446,246","2,921,020.60","16,951,936","5,142,985",124.1,14,0.303,739.954
Armenia,"2,976,566","29,732.30","181,392","42,478",14.3,100,0.234,568.372
Australia *,"23,342,553","8,616,992.90","44,911,459","2,287,518",98,3,0.051,"11,712.68"
Austria,"8,495,145","83,949.80","578,225","376,231",44.3,101,0.651,309.248
Azerbaijan,"9,413,420","99,071.20","604,228","264,424",28.1,95,0.438,325.129
Bahrain,"1,332,171","5,812.80","30,209","269,488",202.3,229,8.921,"1,250.31"
Bangladesh,"156,594,962","152,540.60","777,893","299,191",1.9,"1,027",0.385,119.729
Barbados,"284,644","3,973.40","19,090","10,801",37.9,72,0.566,59.76
Belarus,"9,356,678","207,568.20","1,620,822","369,938",39.5,45,0.228,"1,606.07"
Belgium,"11,104,476","32,106.60","235,207","1,172,930",105.6,346,4.987,"1,771.79"
Belize,"368,310","34,566.00","169,079","22,241",60.4,11,0.132,58.659
Benin,"10,323,474","117,848.20","559,252","34,682",3.4,88,0.062,88.91
Bermuda,"65,341","2,996.10","16,533","3,045",46.6,22,0.184,32.593
Bhutan,"753,947","38,801.70","203,948","13,988",18.6,19,0.069,48.289
Bolivia,"10,671,200","1,083,744.20","5,296,078","752,497",70.5,10,0.142,"1,202.81"
Bosnia and Herzegovina,"3,829,307","51,220.50","332,015","131,649",34.4,75,0.397,213.771
Botswana,"2,021,144","578,145.90","2,918,458","167,773",83,3,0.057,92.468
Brazil,"205,361,925","8,732,227.20","41,997,313","10,874,556",53,24,0.259,"2,712.15"
British Indian Ocean Territory,"3,000","14,293.00","67,268","3,715","1,238.20",0,0.055,81.716
British Virgin Islands,"28,341","5,212.30","25,700","1,573",55.5,5,0.061,46.475
