Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Brunei,"417,784","6,916.80","32,497","62,255",149,60,1.916,507.607
Bulgaria,"7,222,943","117,350.20","743,429","300,783",41.6,62,0.405,195.047
Burkina Faso,"16,934,839","273,373.20","1,308,690","78,047",4.6,62,0.06,206.893
Burundi,"10,162,532","26,759.10","125,445","7,621",0.7,380,0.061,15.184
Cambodia,"15,135,169","203,462.60","974,710","113,041",7.5,74,0.116,105.416
Cameroon,"22,253,959","474,637.60","2,233,588","285,410",12.8,47,0.128,"8,268.44"
Canada *,"35,181,704","12,764,781.20","114,007,774","49,826,616","1,416.30",3,0.437,"5,820.99"
Cape Verde,"498,897","63,590.10","309,233","10,603",21.3,8,0.034,42.114
Cayman Islands,"58,435","7,377.10","36,579","9,052",154.9,8,0.247,84.96
Central African Republic,"4,616,417","617,732.90","2,910,438","136,562",29.6,7,0.047,214.955
Chad,"12,825,314","1,273,903.00","6,190,293","128,313",10,10,0.021,"1,603.68"
Chile,"17,619,708","1,015,315.80","6,290,852","1,181,695",67.1,17,0.188,"1,096.51"
China,"1,385,566,537","9,753,004.90","56,838,759","19,976,843",14.4,142,0.351,"2,605.61"
Colombia,"48,321,405","1,233,902.90","5,801,569","1,355,935",28.1,39,0.234,"1,847.29"
Comoros,"734,917","14,181.00","67,801",831,1.1,52,0.012,5.995
Congo-Brazzaville,"4,447,632","346,685.60","1,623,921","199,789",44.9,13,0.123,"1,648.59"
Congo-Kinshasa,"67,513,677","2,330,946.60","10,952,157","825,590",12.2,29,0.075,"2,734.60"
Cook Islands,"20,629","31,185.60","152,176","12,109",587,1,0.08,1.69
Costa Rica,"4,872,166","65,590.90","311,438","181,466",37.2,74,0.583,184.268
Côte d'Ivoire,"20,316,086","333,012.60","1,572,073","243,952",12,61,0.155,788.28
Croatia,"4,289,714","88,121.90","574,868","396,105",92.3,49,0.689,192.472
Cuba,"11,265,629","232,897.60","1,170,500","272,786",24.2,48,0.233,"1,288.46"
Cyprus,"1,141,166","22,890.50","130,428","113,516",99.5,50,0.87,142.902
Czechia,"10,702,197","78,874.10","566,696","677,011",63.3,136,1.195,341.289
Denmark,"5,619,096","87,094.60","722,229","330,605",58.8,65,0.458,"1,169.77"
Djibouti,"872,932","26,600.20","127,060","7,542",8.6,33,0.059,56.277
Dominica,"72,003","4,588.30","22,261","1,240",17.2,16,0.056,15.738
Dominican Republic,"10,403,761","122,782.60","607,953","195,349",18.8,85,0.321,517.578
East Timor,"1,132,879","28,113.10","133,076","5,264",4.6,40,0.04,46.32
Ecuador,"15,737,878","364,048.30","1,704,444","490,914",31.2,43,0.288,"1,940.17"
Egypt,"82,056,378","1,070,643.50","5,592,368","3,924,889",47.8,77,0.702,"10,250.64"
El Salvador,"6,340,454","25,274.70","121,617","58,942",9.3,251,0.485,63.519
Equatorial Guinea,"757,014","39,941.90","187,059","41,993",55.5,19,0.224,"1,060.91"
Eritrea,"6,333,135","159,738.10","774,760","2,845",0.4,40,0.004,29.807
Estonia,"1,287,251","70,479.00","628,821","459,028",356.6,18,0.73,"4,563.12"
Ethiopia,"94,100,756","1,129,896.20","5,352,130","355,675",3.8,83,0.066,"2,054.15"
Falkland Islands,"2,932","46,614.20","349,498","8,582","2,927.00",0,0.025,13.533
Faroe Islands,"49,469","6,674.80","65,794","21,390",432.4,7,0.325,79.675
Federated States of Micronesia,"103,549","96,197.20","454,057","1,641",15.8,1,0.004,42.401
Fiji,"881,065","214,078.80","1,051,043","12,038",13.7,4,0.011,34.519
Finland *,"5,426,323","390,902.20","4,151,991","3,162,873",582.9,14,0.762,"15,153.20"
France,"66,673,000","1,197,331.80","7,108,283","5,702,525",85.5,56,0.802,"5,216.93"
Gabon,"1,671,711","282,913.60","1,324,236","219,933",131.6,6,0.166,"1,796.30"
Georgia,"4,340,895","75,781.20","475,895","151,093",34.8,57,0.317,441.605
Germany,"82,726,626","381,446.00","2,834,409","3,159,947",38.2,217,1.115,610.538
Ghana,"25,904,598","250,930.40","1,185,544","315,055",12.2,103,0.266,272.598
Gibraltar,"2,931",92.9,540,"2,852",973,32,5.281,68.243
Greece,"11,127,990","338,173.60","2,005,619","823,398",74,33,0.411,218.676
Greenland,"56,987","2,553,124.80","20,509,137","1,071,750","18,806.90",0,0.052,22.257
Grenada,"105,897","4,940.30","23,651","2,577",24.3,21,0.109,20.446
Guatemala,"15,468,203","114,064.00","553,819","190,642",12.3,136,0.344,675.812
Guernsey,"162,018","3,847.10","27,542",795,4.9,42,0.029,16.509
Guinea,"11,745,189","253,973.80","1,208,210","183,324",15.6,46,0.152,874.665
Guinea-Bissau,"1,704,255","53,448.20","255,359","8,886",5.2,32,0.035,78.8
Guyana,"799,613","220,946.80","1,038,190","93,275",116.6,4,0.09,215.792
Haiti,"10,317,461","47,428.80","234,347","14,782",1.4,218,0.063,48.714
Honduras,"8,097,688","152,913.80","740,585","199,001",24.6,53,0.269,455.331
Hungary,"9,954,941","93,010.20","635,615","443,945",44.6,107,0.698,360.773
Iceland *,"329,535","177,165.60","1,943,492","160,518",487.1,2,0.083,"1,116.13"
India,"1,252,139,596","3,439,402.80","17,443,496","11,841,747",9.5,364,0.679,"2,447.61"
Indonesia,"249,865,631","5,261,055.00","24,692,908","2,389,600",9.6,47,0.097,"4,033.42"
Iran,"77,447,168","1,697,124.20","9,385,673","8,172,107",105.5,46,0.871,"102,905.70"
Iraq,"33,765,232","436,744.40","2,430,013","6,653,363",197,77,2.738,"91,512.59"
Ireland,"4,627,173","108,706.80","841,705","396,611",85.7,43,0.471,283.456
Isle of Man,"85,888","4,504.90","35,720","3,640",42.4,19,0.102,48.598
Israel,"7,733,144","26,118.20","142,977","853,688",110.4,296,5.971,373.05
Italy,"60,990,277","457,104.20","2,864,154","5,731,702",94,133,2.001,601.343
Jamaica,"2,783,888","50,999.10","250,246","69,520",25,55,0.278,99.642
Japan,"127,143,577","762,590.30","4,416,825","3,648,198",28.7,167,0.826,"1,152.00"
Jersey,"99,500","2,404.90","17,059","2,973",29.9,41,0.174,56.157
Jordan,"7,273,799","89,143.10","486,258","376,054",51.7,82,0.773,538.406
Kazakhstan,"16,440,586","2,751,305.60","19,176,002","3,191,694",194.1,6,0.166,"29,577.20"
Kenya,"44,353,691","595,242.00","2,787,554","291,738",6.6,75,0.105,213.167
Kiribati,"102,351","76,827.20","360,207",955,9.3,1,0.003,5.401
Kuwait,"3,368,572","24,748.90","132,346","855,213",253.9,136,6.462,"13,696.19"
Kyrgyzstan,"5,547,548","198,632.80","1,233,225","220,117",39.7,28,0.178,327.152
Laos,"6,769,727","229,731.80","1,132,801","121,509",17.9,29,0.107,319.444
Latvia,"2,050,317","76,660.20","651,138","162,231",79.1,27,0.249,896.343
Lebanon,"4,821,971","14,837.10","83,331","237,702",49.3,325,2.852,197.436
Lesotho,"2,074,465","30,548.60","163,853","11,186",5.4,68,0.068,37.337
Liberia,"4,294,077","108,550.20","511,067","43,311",10.1,40,0.085,29.85
Libya,"6,201,521","1,725,328.80","9,081,126","1,215,345",196,4,0.134,"6,213.56"
Liechtenstein,"36,925",160.5,"1,100","1,726",46.7,230,1.569,25.692
Lithuania,"3,016,933","67,149.90","547,681","154,063",51.1,45,0.281,202.274
Luxemburg,"576,200","2,600.00","18,698","63,511",110.2,222,3.397,114.631
Macedonia,"2,107,158","25,465.10","158,425","94,643",44.9,83,0.597,448.277
Madagascar,"22,924,851","716,425.90","3,550,500","122,035",5.3,32,0.034,79.943
Malawi,"16,362,567","118,595.80","569,995","38,737",2.4,138,0.068,65.606
Malaysia,"29,716,965","431,990.80","2,026,687","1,435,593",48.3,69,0.708,"2,120.92"
Maldives,"345,023","114,578.90","537,431","40,463",117.3,3,0.075,53.803
Mali,"15,301,650","1,252,492.70","6,144,111","305,486",20,12,0.05,280.091
Malta,"429,004","4,276.50","24,615","31,490",73.4,100,1.279,193.669
Marshall Islands,"52,634","113,559.70","538,286","2,839",53.9,0,0.005,20.361
Mauritania,"3,889,880","1,053,650.80","5,253,329","213,735",54.9,4,0.041,94.898
Mauritius,"1,244,403","19,902.60","97,891","18,626",15,63,0.19,99.515
Mexico,"122,332,399","2,251,111.80","11,538,499","5,457,820",44.6,54,0.473,"19,456.25"
Moldova,"3,487,204","33,849.80","231,497","63,886",18.3,103,0.276,801.392
Monaco,"37,831",81.4,522,"2,515",66.5,465,4.819,180.124
Mongolia,"2,839,073","1,565,236.30","10,638,984","1,077,896",379.7,2,0.101,179.115
Montenegro,"621,383","15,866.70","100,416","50,806",81.8,39,0.506,91.012
Montserrat,"5,091","2,247.20","10,963",102,20,2,0.009,2.477
Morocco,"33,008,150","746,956.60","4,000,044","1,166,632",35.3,44,0.292,323.284
Mozambique,"25,833,752","856,080.60","4,203,074","168,442",6.5,30,0.04,109.733
Myanmar,"53,259,018","771,113.00","3,850,372","569,122",10.7,69,0.148,234.277
Namibia,"2,303,315","856,973.70","4,328,812","115,108",50,3,0.027,111.777
Nauru,"10,051","1,953.40","9,151",513,51.1,5,0.056,19.801
Nepal,"27,797,457","147,565.90","781,735","98,106",3.5,188,0.125,84.169
New Zealand *,"4,505,761","449,679.90","2,808,059","293,099",65,10,0.104,240.198
Nicaragua,"6,080,478","141,850.90","680,458","97,457",16,43,0.143,363.149
Niger,"17,831,270","1,180,909.00","5,791,250","101,813",5.7,15,0.018,365.784
Nigeria,"173,615,345","927,783.20","4,403,981","1,081,369",6.2,187,0.246,"12,902.40"
Niue,"1,344","3,187.50","15,765",101,75.1,0,0.006,0.924
North Korea,"24,895,480","150,501.80","915,250","54,171",2.2,165,0.059,34.865
Norway *,"5,042,671","627,472.90","5,304,966","2,246,550",445.5,8,0.423,"1,812.65"
Oman,"3,632,444","361,035.60","1,803,577","1,200,320",330.4,10,0.666,"5,264.66"
Pakistan,"182,142,594","891,973.30","4,804,729","1,428,189",7.8,204,0.297,"1,940.52"
Palau,"20,918","3,908.90","18,393",509,24.4,5,0.028,16.866
Palestine,"4,326,295","6,973.10","38,279","193,563",44.7,620,5.057,189.956
Panama,"3,864,170","132,164.80","625,110","159,912",41.4,29,0.256,"1,717.17"
Papua New Guinea,"7,321,262","1,185,376.60","5,579,447","60,705",8.3,6,0.011,290.121
Paraguay,"6,802,295","399,544.50","2,031,783","477,760",70.2,17,0.235,486.931
Peru,"30,375,603","2,141,541.20","10,213,070","1,165,513",38.4,14,0.114,"2,280.05"
Philippines,"98,393,574","1,008,019.50","4,810,074","550,594",5.6,98,0.114,499.882
Pitcairn Islands,56,714.8,"3,671",102,"1,826.50",0,0.028,0.602
Poland,"38,216,635","322,760.40","2,444,965","2,626,417",68.7,118,1.074,"3,798.26"
Portugal,"10,608,156","165,258.60","985,381","1,353,621",127.6,64,1.374,267.556
Qatar,"2,168,673","22,716.50","117,368","989,574",456.3,95,8.431,"10,417.11"
Republic of China,"23,329,772","88,451.40","450,704","832,528",35.7,264,1.847,180.78
Republic of Kosovo,"1,884,000","10,905.30","68,862","50,051",26.6,173,0.727,83.995
Romania,"21,698,585","243,658.30","1,624,832","803,361",37,89,0.494,212.29
Russian Federation *,"142,833,689","18,310,431.20","176,128,599","39,683,470",277.8,8,0.225,"25,091.22"
Rwanda,"11,776,522","25,273.70","118,337","17,939",1.5,466,0.152,59.874
Sahrawi Arab Democratic Republic,"513,000","79,524.40","407,247","17,025",33.2,6,0.042,2.738
"Saint Helena, Ascension and Tristan da Cunha","4,255","12,518.10","68,328",898,211,0,0.013,10.633
Saint Kitts and Nevis,"54,191","3,596.40","17,603","3,131",57.8,15,0.178,39.315
Saint Lucia,"182,273","4,418.20","21,277","5,948",32.6,41,0.28,34.362
Saint Vincent and the Grenadines,"109,373","6,500.30","31,203","1,641",15,17,0.053,20.983
Samoa,"190,372","12,891.40","62,053","1,187",6.2,15,0.019,19.119
San Marino,"31,448",61.1,390,"3,917",124.5,515,10.043,71.377
São Tomé and Príncipe,"192,993","16,487.00","77,171","6,736",34.9,12,0.087,31.808
Saudi Arabia,"28,828,870","2,048,615.40","10,493,424","8,775,811",304.4,14,0.836,"8,508.69"
Senegal,"14,133,280","209,182.20","1,009,782","109,705",7.8,68,0.109,551.353
Serbia,"9,510,506","77,606.40","503,628","533,224",56.1,123,1.059,204.871
Seychelles,"92,838","53,540.20","252,639","11,539",124.3,2,0.046,28.647
Sierra Leone,"6,092,075","83,542.20","395,063","34,226",5.6,73,0.087,176.297
Singapore,"5,411,737","1,660.70","7,771","200,295",37,"3,259",25.775,502.644
Slovakia,"5,450,223","49,025.10","345,030","240,830",44.2,111,0.698,"3,464.95"
Slovenia,"2,071,997","20,465.90","137,180","90,994",43.9,101,0.663,191.241
Solomon Islands,"561,231","243,025.00","1,151,870","1,000",1.8,2,0.001,17.133
Somalia,"10,495,583","702,042.10","3,310,168","66,698",6.4,15,0.02,33.858
South Africa,"52,776,130","1,291,624.90","6,917,228","2,062,420",39.1,41,0.298,"2,940.81"
South Georgia and South Sandwich Islands,30,"35,864.10","298,544","29,762","992,070.90",0,0.1,0.795
South Korea,"49,262,698","187,490.50","1,079,019","2,168,451",44,263,2.01,643.181
South Sudan,"11,296,173","652,906.10","3,081,847","147,862",13.1,17,0.048,"1,425.96"
Spain,"46,926,963","627,177.80","3,795,560","4,731,240",100.8,75,1.247,591.377
Sri Lanka,"21,273,228","97,617.70","460,992","108,548",5.1,218,0.235,392.622
Sudan,"37,964,306","1,878,267.50","9,153,141","288,409",7.6,20,0.032,"1,261.52"
Suriname,"539,276","153,523.50","720,461","116,579",216.2,4,0.162,132.35
Swaziland,"1,249,514","17,363.20","90,623","24,417",19.5,72,0.269,38.384
Sweden *,"9,571,105","533,366.60","5,333,127","2,109,924",220.4,18,0.396,"2,032.84"
Switzerland,"8,077,833","41,280.70","280,173","358,316",44.4,196,1.279,95.888
Syria,"21,898,061","190,454.90","1,083,867","187,573",8.6,115,0.173,"4,366.76"
Tajikistan,"8,207,834","141,212.90","840,407","183,094",22.3,58,0.218,246.516
Tanzania,"49,253,126","983,898.60","4,636,397","234,351",4.8,50,0.051,89.254
Thailand,"67,010,502","624,696.20","3,018,244","2,066,622",30.8,107,0.685,495.669
The Bahamas,"377,374","301,746.00","1,541,162","45,061",119.4,1,0.029,85.875
The Gambia,"1,849,285","12,980.40","62,452","9,167",5,142,0.147,64.245
The Netherlands,"17,010,800","64,537.80","447,329","2,127,946",125.1,264,4.757,"12,452.99"
Togo,"6,816,982","57,968.60","274,275","32,483",4.8,118,0.118,144.778
Tokelau,"1,195","6,936.70","32,863",81,68.1,0,0.002,0.215
Tonga,"105,323","38,879.70","193,325","2,441",23.2,3,0.013,10.127
Trinidad and Tobago,"1,341,151","21,673.50","103,179","165,846",123.7,62,1.607,"1,057.99"
Tunisia,"10,996,515","189,248.70","1,069,029","527,273",47.9,58,0.493,812.382
Turkey,"74,932,641","859,471.30","5,156,494","4,145,985",55.3,87,0.804,554.418
Turkmenistan,"5,240,072","498,885.90","2,997,823","993,539",189.6,11,0.331,"12,871.30"
Turks and Caicos Islands,"33,098","17,245.20","86,603","4,024",121.6,2,0.046,27.787
Tuvalu,"9,876","27,357.50","129,173",92,9.3,0,0.001,6.939
Uganda,"37,578,876","241,510.60","1,130,466","73,929",2,156,0.065,721.949
Ukraine,"45,238,805","640,067.50","4,516,234","1,212,163",26.8,71,0.268,"24,220.03"
United Arab Emirates,"9,346,129","103,814.60","531,409","1,677,638",179.5,90,3.157,"5,286.76"
United Kingdom,"65,097,000","404,840.90","3,255,273","3,655,509",56.2,161,1.123,"2,006.01"
United States of America *,"320,050,716","10,366,104.10","70,936,543","50,832,432",158.8,31,0.717,"9,936.41"
Uruguay,"3,407,062","201,046.00","1,118,140","317,679",93.2,17,0.284,226.602
Uzbekistan,"28,934,102","447,902.10","2,795,159","690,015",23.8,65,0.247,"4,009.67"
Vanuatu,"252,763","126,677.10","617,090","45,124",178.5,2,0.073,"8,450.45"
Vatican City,799,0.5,2,234,292.3,"1,614",116.759,121.608
Venezuela,"30,405,207","1,022,688.30","4,831,326","5,054,529",166.2,30,1.046,"147,190.64"
Vietnam,"91,679,733","486,799.50","2,367,086","1,840,057",20.1,188,0.777,"3,166.94"
Yemen,"24,407,381","522,927.90","2,539,756","117,974",4.8,47,0.046,"1,390.91"
Zambia,"14,538,640","750,509.80","3,611,180","182,115",12.5,19,0.05,180.388
Zimbabwe,"14,149,648","390,597.50","1,931,122","159,225",11.3,36,0.082,64.892
