Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Liechtenstein,"36,925",160.5,"1,100","1,795",48.6,230,1.632,14.288
Lithuania,"3,016,933","67,149.90","547,681","227,681",75.5,45,0.416,216.436
Luxemburg,"576,200","2,600.00","18,698","64,418",111.8,222,3.445,258.005
Macedonia,"2,107,158","25,465.10","158,425","111,232",52.8,83,0.702,"1,426.71"
Madagascar,"22,924,851","716,425.90","3,550,500","491,656",21.4,32,0.138,95.462
Malawi,"16,362,567","118,595.80","569,995","88,619",5.4,138,0.155,69.17
Malaysia,"29,716,965","431,990.80","2,026,687","1,585,429",53.4,69,0.782,"2,309.08"
Maldives,"345,023","114,578.90","537,431","69,915",202.6,3,0.13,54.409
Mali,"15,301,650","1,252,492.70","6,144,111","1,286,943",84.1,12,0.209,365.094
Malta,"429,004","4,276.50","24,615","33,969",79.2,100,1.38,157.243
Marshall Islands,"52,634","113,559.70","538,286","65,736","1,248.90",0,0.122,10.321
Mauritania,"3,889,880","1,053,650.80","5,253,329","1,013,412",260.5,4,0.193,100.084
Mauritius,"1,244,403","19,902.60","97,891","26,517",21.3,63,0.271,90.047
Mexico,"122,332,399","2,251,111.80","11,538,499","6,869,399",56.2,54,0.595,"11,061.79"
Moldova,"3,487,204","33,849.80","231,497","74,720",21.4,103,0.323,166.047
Monaco,"37,831",81.4,522,"2,404",63.5,465,4.606,176.514
Mongolia,"2,839,073","1,565,236.30","10,638,984","1,780,623",627.2,2,0.167,"7,132.19"
Montenegro,"621,383","15,866.70","100,416","67,873",109.2,39,0.676,137.873
Montserrat,"5,091","2,247.20","10,963",905,177.7,2,0.083,3.693
Morocco,"33,008,150","746,956.60","4,000,044","1,539,138",46.6,44,0.385,420.16
Mozambique,"25,833,752","856,080.60","4,203,074","618,322",23.9,30,0.147,"6,079.55"
Myanmar,"53,259,018","771,113.00","3,850,372","1,322,746",24.8,69,0.344,432.243
Namibia,"2,303,315","856,973.70","4,328,812","439,010",190.6,3,0.101,83.565
Nauru,"10,051","1,953.40","9,151","1,712",170.4,5,0.187,32.938
Nepal,"27,797,457","147,565.90","781,735","197,950",7.1,188,0.253,42.411
New Zealand *,"4,505,761","449,679.90","2,808,059","727,972",161.6,10,0.259,419.493
Nicaragua,"6,080,478","141,850.90","680,458","131,414",21.6,43,0.193,159.05
Niger,"17,831,270","1,180,909.00","5,791,250","924,819",51.9,15,0.16,604.862
Nigeria,"173,615,345","927,783.20","4,403,981","2,110,834",12.2,187,0.479,"15,036.56"
Niue,"1,344","3,187.50","15,765","1,501","1,116.90",0,0.095,1.367
North Korea,"24,895,480","150,501.80","915,250","63,796",2.6,165,0.07,86.633
Norway *,"5,042,671","627,472.90","5,304,966","590,796",117.2,8,0.111,"2,535.87"
Oman,"3,632,444","361,035.60","1,803,577","1,377,472",379.2,10,0.764,"7,900.56"
Pakistan,"182,142,594","891,973.30","4,804,729","2,006,952",11,204,0.418,"1,924.33"
Palau,"20,918","3,908.90","18,393",943,45.1,5,0.051,12.203
Palestine,"4,326,295","6,973.10","38,279","188,964",43.7,620,4.936,181.3
Panama,"3,864,170","132,164.80","625,110","204,109",52.8,29,0.327,558.8
Papua New Guinea,"7,321,262","1,185,376.60","5,579,447","793,645",108.4,6,0.142,904.932
Paraguay,"6,802,295","399,544.50","2,031,783","794,712",116.8,17,0.391,657.755
Peru,"30,375,603","2,141,541.20","10,213,070","2,360,516",77.7,14,0.231,"2,091.94"
Philippines,"98,393,574","1,008,019.50","4,810,074","830,207",8.4,98,0.173,"1,763.53"
Pitcairn Islands,56,714.8,"3,671",808,"14,432.10",0,0.22,0.414
Poland,"38,216,635","322,760.40","2,444,965","2,860,963",74.9,118,1.17,"5,303.00"
Portugal,"10,608,156","165,258.60","985,381","1,436,947",135.5,64,1.458,242.778
Qatar,"2,168,673","22,716.50","117,368","863,251",398.1,95,7.355,"9,038.92"
Republic of China,"23,329,772","88,451.40","450,704","793,341",34,264,1.76,213.3
Republic of Kosovo,"1,884,000","10,905.30","68,862","59,361",31.5,173,0.862,79.85
Romania,"21,698,585","243,658.30","1,624,832","1,008,892",46.5,89,0.621,442.482
Russian Federation *,"142,833,689","18,310,431.20","176,128,599","23,270,828",162.9,8,0.132,"22,801.57"
Rwanda,"11,776,522","25,273.70","118,337","48,845",4.1,466,0.413,54.77
Sahrawi Arab Democratic Republic,"513,000","79,524.40","407,247","70,905",138.2,6,0.174,4.12
"Saint Helena, Ascension and Tristan da Cunha","4,255","12,518.10","68,328","8,741","2,054.30",0,0.128,11.829
Saint Kitts and Nevis,"54,191","3,596.40","17,603","4,875",90,15,0.277,35.042
Saint Lucia,"182,273","4,418.20","21,277","7,703",42.3,41,0.362,38.486
Saint Vincent and the Grenadines,"109,373","6,500.30","31,203","3,486",31.9,17,0.112,27.715
Samoa,"190,372","12,891.40","62,053","7,487",39.3,15,0.121,10.77
San Marino,"31,448",61.1,390,"3,967",126.1,515,10.171,66.725
São Tomé and Príncipe,"192,993","16,487.00","77,171","7,619",39.5,12,0.099,21.519
Saudi Arabia,"28,828,870","2,048,615.40","10,493,424","10,421,282",361.5,14,0.993,"24,754.55"
Senegal,"14,133,280","209,182.20","1,009,782","211,625",15,68,0.21,180.396
Serbia,"9,510,506","77,606.40","503,628","631,089",66.4,123,1.253,370.532
Seychelles,"92,838","53,540.20","252,639","25,344",273,2,0.1,38.239
Sierra Leone,"6,092,075","83,542.20","395,063","94,926",15.6,73,0.24,91.424
Singapore,"5,411,737","1,660.70","7,771","177,324",32.8,"3,259",22.819,307.534
Slovakia,"5,450,223","49,025.10","345,030","253,294",46.5,111,0.734,195.923
Slovenia,"2,071,997","20,465.90","137,180","114,222",55.1,101,0.833,212.981
Solomon Islands,"561,231","243,025.00","1,151,870","169,778",302.5,2,0.147,21.295
Somalia,"10,495,583","702,042.10","3,310,168","461,144",43.9,15,0.139,27.041
South Africa,"52,776,130","1,291,624.90","6,917,228","2,926,284",55.4,41,0.423,"22,379.89"
South Georgia and South Sandwich Islands,30,"35,864.10","298,544","42,820","1,427,331.30",0,0.143,0.881
South Korea,"49,262,698","187,490.50","1,079,019","2,285,912",46.4,263,2.119,546.321
South Sudan,"11,296,173","652,906.10","3,081,847","435,663",38.6,17,0.141,"1,357.68"
Spain,"46,926,963","627,177.80","3,795,560","4,856,706",103.5,75,1.28,"2,547.67"
Sri Lanka,"21,273,228","97,617.70","460,992","154,537",7.3,218,0.335,112.184
Sudan,"37,964,306","1,878,267.50","9,153,141","1,249,685",32.9,20,0.137,"3,382.74"
Suriname,"539,276","153,523.50","720,461","188,248",349.1,4,0.261,90.499
Swaziland,"1,249,514","17,363.20","90,623","36,393",29.1,72,0.402,54.479
Sweden *,"9,571,105","533,366.60","5,333,127","1,215,599",127,18,0.228,"1,679.60"
Switzerland,"8,077,833","41,280.70","280,173","354,838",43.9,196,1.266,143.257
Syria,"21,898,061","190,454.90","1,083,867","363,720",16.6,115,0.336,"7,012.26"
Tajikistan,"8,207,834","141,212.90","840,407","290,015",35.3,58,0.345,162.901
Tanzania,"49,253,126","983,898.60","4,636,397","803,175",16.3,50,0.173,111.507
Thailand,"67,010,502","624,696.20","3,018,244","2,162,828",32.3,107,0.717,962.535
The Bahamas,"377,374","301,746.00","1,541,162","218,343",578.6,1,0.142,107.508
The Gambia,"1,849,285","12,980.40","62,452","15,780",8.5,142,0.253,126.507
The Netherlands,"17,010,800","64,537.80","447,329","2,111,761",124.1,264,4.721,"18,571.98"
Togo,"6,816,982","57,968.60","274,275","45,442",6.7,118,0.166,90.881
Tokelau,"1,195","6,936.70","32,863",143,120,0,0.004,0.418
Tonga,"105,323","38,879.70","193,325","18,366",174.4,3,0.095,14.991
Trinidad and Tobago,"1,341,151","21,673.50","103,179","191,319",142.7,62,1.854,"2,244.94"
Tunisia,"10,996,515","189,248.70","1,069,029","633,064",57.6,58,0.592,898.175
Turkey,"74,932,641","859,471.30","5,156,494","4,544,029",60.6,87,0.881,"7,227.38"
Turkmenistan,"5,240,072","498,885.90","2,997,823","1,260,842",240.6,11,0.421,"12,189.77"
Turks and Caicos Islands,"33,098","17,245.20","86,603","15,892",480.1,2,0.184,26.229
Tuvalu,"9,876","27,357.50","129,173","8,434",854,0,0.065,9.299
Uganda,"37,578,876","241,510.60","1,130,466","308,287",8.2,156,0.273,"2,036.29"
Ukraine,"45,238,805","640,067.50","4,516,234","1,681,778",37.2,71,0.372,"10,860.61"
United Arab Emirates,"9,346,129","103,814.60","531,409","1,787,093",191.2,90,3.363,"4,782.39"
United Kingdom,"65,097,000","404,840.90","3,255,273","4,190,131",64.4,161,1.287,968.65
United States of America *,"320,050,716","10,366,104.10","70,936,543","54,108,842",169.1,31,0.763,"4,820.28"
Uruguay,"3,407,062","201,046.00","1,118,140","496,979",145.9,17,0.444,200.619
Uzbekistan,"28,934,102","447,902.10","2,795,159","985,906",34.1,65,0.353,"2,961.42"
Vanuatu,"252,763","126,677.10","617,090","82,527",326.5,2,0.134,793.423
Vatican City,799,0.5,2,221,276.2,"1,614",110.357,124.045
Venezuela,"30,405,207","1,022,688.30","4,831,326","5,115,212",168.2,30,1.059,"80,979.59"
Vietnam,"91,679,733","486,799.50","2,367,086","2,311,820",25.2,188,0.977,"3,314.72"
Yemen,"24,407,381","522,927.90","2,539,756","780,165",32,47,0.307,"8,064.66"
Zambia,"14,538,640","750,509.80","3,611,180","495,248",34.1,19,0.137,203.401
Zimbabwe,"14,149,648","390,597.50","1,931,122","310,907",22,36,0.161,119.785
