Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Afghanistan,"30,551,674","641,728.80","3,602,817","882,176",28.9,48,0.245,162.415
Albania,"3,173,271","32,713.30","201,976","108,731",34.3,97,0.538,167.051
Algeria,"39,208,194","2,338,364.50","12,422,022","5,921,143",151,17,0.477,"19,602.02"
Andorra,"79,218",465.7,"2,952","9,384",118.5,170,3.179,139.052
Angola,"21,471,618","1,282,915.80","6,149,738","757,660",35.3,17,0.123,"5,108.34"
Anguilla,143,"4,387.90","21,604","3,302","23,092.40",0,0.153,19.55
Antigua and Barbuda,"89,985","7,500.20","36,701","9,485",105.4,12,0.258,49.961
Argentina,"41,446,246","2,921,020.60","16,951,936","7,105,117",171.4,14,0.419,"2,409.25"
Armenia,"2,976,566","29,732.30","181,392","50,876",17.1,100,0.28,118.981
Australia *,"23,342,553","8,616,992.90","44,911,459","8,296,954",355.4,3,0.185,"19,463.23"
Austria,"8,495,145","83,949.80","578,225","422,394",49.7,101,0.731,326.546
Azerbaijan,"9,413,420","99,071.20","604,228","336,856",35.8,95,0.557,267.08
Bahrain,"1,332,171","5,812.80","30,209","252,908",189.8,229,8.372,283.609
Bangladesh,"156,594,962","152,540.60","777,893","456,277",2.9,"1,027",0.587,263.96
Barbados,"284,644","3,973.40","19,090","12,088",42.5,72,0.633,49.209
Belarus,"9,356,678","207,568.20","1,620,822","552,091",59,45,0.341,"2,470.13"
Belgium,"11,104,476","32,106.60","235,207","1,171,732",105.5,346,4.982,"1,855.19"
Belize,"368,310","34,566.00","169,079","38,176",103.7,11,0.226,68.352
Benin,"10,323,474","117,848.20","559,252","83,175",8.1,88,0.149,42.623
Bermuda,"65,341","2,996.10","16,533","6,683",102.3,22,0.404,45.501
Bhutan,"753,947","38,801.70","203,948","55,358",73.4,19,0.271,78.38
Bolivia,"10,671,200","1,083,744.20","5,296,078","1,174,295",110,10,0.222,"1,483.95"
Bosnia and Herzegovina,"3,829,307","51,220.50","332,015","178,911",46.7,75,0.539,111.418
Botswana,"2,021,144","578,145.90","2,918,458","299,156",148,3,0.103,284.852
Brazil,"205,361,925","8,732,227.20","41,997,313","14,478,823",70.5,24,0.345,"3,525.70"
British Indian Ocean Territory,"3,000","14,293.00","67,268","5,653","1,884.30",0,0.084,24.631
British Virgin Islands,"28,341","5,212.30","25,700","3,625",127.9,5,0.141,29.269
Brunei,"417,784","6,916.80","32,497","93,622",224.1,60,2.881,"3,011.85"
Bulgaria,"7,222,943","117,350.20","743,429","428,840",59.4,62,0.577,337.949
Burkina Faso,"16,934,839","273,373.20","1,308,690","239,665",14.2,62,0.183,290.22
Burundi,"10,162,532","26,759.10","125,445","30,875",3,380,0.246,24.867
Cambodia,"15,135,169","203,462.60","974,710","240,527",15.9,74,0.247,774.104
Cameroon,"22,253,959","474,637.60","2,233,588","471,489",21.2,47,0.211,"2,734.21"
Canada *,"35,181,704","12,764,781.20","114,007,774","65,978,971","1,875.40",3,0.579,"4,937.00"
Cape Verde,"498,897","63,590.10","309,233","29,916",60,8,0.097,31.181
Cayman Islands,"58,435","7,377.10","36,579","13,306",227.7,8,0.364,95.637
Central African Republic,"4,616,417","617,732.90","2,910,438","290,364",62.9,7,0.1,122.326
Chad,"12,825,314","1,273,903.00","6,190,293","812,880",63.4,10,0.131,"1,944.23"
Chile,"17,619,708","1,015,315.80","6,290,852","1,802,498",102.3,17,0.287,778.616
China,"1,385,566,537","9,753,004.90","56,838,759","24,369,587",17.6,142,0.429,"3,717.62"
Colombia,"48,321,405","1,233,902.90","5,801,569","1,860,854",38.5,39,0.321,"4,624.77"
Comoros,"734,917","14,181.00","67,801","5,693",7.7,52,0.084,8.982
Congo-Brazzaville,"4,447,632","346,685.60","1,623,921","202,294",45.5,13,0.125,"1,495.18"
Congo-Kinshasa,"67,513,677","2,330,946.60","10,952,157","1,844,568",27.3,29,0.168,"1,741.42"
Cook Islands,"20,629","31,185.60","152,176","13,039",632.1,1,0.086,1.915
Costa Rica,"4,872,166","65,590.90","311,438","218,602",44.9,74,0.702,"2,339.51"
Côte d'Ivoire,"20,316,086","333,012.60","1,572,073","426,637",21,61,0.271,267.216
Croatia,"4,289,714","88,121.90","574,868","457,775",106.7,49,0.796,353.655
Cuba,"11,265,629","232,897.60","1,170,500","371,499",33,48,0.317,811.932
Cyprus,"1,141,166","22,890.50","130,428","135,747",119,50,1.041,117.341
Czechia,"10,702,197","78,874.10","566,696","723,305",67.6,136,1.276,170.753
Denmark,"5,619,096","87,094.60","722,229","410,128",73,65,0.568,"1,156.77"
Djibouti,"872,932","26,600.20","127,060","20,877",23.9,33,0.164,66.415
Dominica,"72,003","4,588.30","22,261","2,832",39.3,16,0.127,19.47
Dominican Republic,"10,403,761","122,782.60","607,953","250,362",24.1,85,0.412,463.765
East Timor,"1,132,879","28,113.10","133,076","23,019",20.3,40,0.173,56.049
Ecuador,"15,737,878","364,048.30","1,704,444","728,961",46.3,43,0.428,"4,542.93"
Egypt,"82,056,378","1,070,643.50","5,592,368","4,325,421",52.7,77,0.773,"6,114.33"
El Salvador,"6,340,454","25,274.70","121,617","81,808",12.9,251,0.673,311.333
Equatorial Guinea,"757,014","39,941.90","187,059","73,702",97.4,19,0.394,"2,508.84"
Eritrea,"6,333,135","159,738.10","774,760","67,373",10.6,40,0.087,51.239
Estonia,"1,287,251","70,479.00","628,821","187,380",145.6,18,0.298,"3,548.54"
Ethiopia,"94,100,756","1,129,896.20","5,352,130","656,108",7,83,0.123,"1,049.95"
Falkland Islands,"2,932","46,614.20","349,498","48,515","16,546.70",0,0.139,49.018
Faroe Islands,"49,469","6,674.80","65,794",0,0,7,0,0
Federated States of Micronesia,"103,549","96,197.20","454,057","18,730",180.9,1,0.041,13.407
Fiji,"881,065","214,078.80","1,051,043","95,057",107.9,4,0.09,31.558
Finland *,"5,426,323","390,902.20","4,151,991","2,432",0.4,14,0.001,16.854
France,"66,673,000","1,197,331.80","7,108,283","6,435,126",96.5,56,0.905,"6,045.42"
Gabon,"1,671,711","282,913.60","1,324,236","302,273",180.8,6,0.228,"2,514.86"
Georgia,"4,340,895","75,781.20","475,895","173,328",39.9,57,0.364,159.06
Germany,"82,726,626","381,446.00","2,834,409","3,320,734",40.1,217,1.172,860.207
Ghana,"25,904,598","250,930.40","1,185,544","338,750",13.1,103,0.286,73.908
Gibraltar,"2,931",92.9,540,"2,735",933.2,32,5.065,64.476
Greece,"11,127,990","338,173.60","2,005,619","1,073,455",96.5,33,0.535,827.913
Greenland,"56,987","2,553,124.80","20,509,137",0,0,0,0,0
Grenada,"105,897","4,940.30","23,651","3,716",35.1,21,0.157,17.906
Guatemala,"15,468,203","114,064.00","553,819","258,526",16.7,136,0.467,246.596
Guernsey,"162,018","3,847.10","27,542","1,505",9.3,42,0.055,21.739
Guinea,"11,745,189","253,973.80","1,208,210","293,734",25,46,0.243,509.05
Guinea-Bissau,"1,704,255","53,448.20","255,359","41,530",24.4,32,0.163,194.243
Guyana,"799,613","220,946.80","1,038,190","247,837",309.9,4,0.239,96.71
Haiti,"10,317,461","47,428.80","234,347","37,223",3.6,218,0.159,52.952
Honduras,"8,097,688","152,913.80","740,585","271,881",33.6,53,0.367,"1,278.83"
Hungary,"9,954,941","93,010.20","635,615","505,967",50.8,107,0.796,309.278
Iceland *,"329,535","177,165.60","1,943,492",0,0,2,0,0
India,"1,252,139,596","3,439,402.80","17,443,496","13,264,285",10.6,364,0.76,"5,775.33"
Indonesia,"249,865,631","5,261,055.00","24,692,908","4,824,521",19.3,47,0.195,"3,834.20"
Iran,"77,447,168","1,697,124.20","9,385,673","8,241,007",106.4,46,0.878,"40,071.40"
Iraq,"33,765,232","436,744.40","2,430,013","6,281,070",186,77,2.585,"59,904.03"
Ireland,"4,627,173","108,706.80","841,705","463,939",100.3,43,0.551,209.539
Isle of Man,"85,888","4,504.90","35,720","5,945",69.2,19,0.166,42.415
Israel,"7,733,144","26,118.20","142,977","882,695",114.1,296,6.174,375.988
Italy,"60,990,277","457,104.20","2,864,154","5,945,527",97.5,133,2.076,608.324
Jamaica,"2,783,888","50,999.10","250,246","90,507",32.5,55,0.362,132.149
Japan,"127,143,577","762,590.30","4,416,825","3,483,998",27.4,167,0.789,"1,316.84"
Jersey,"99,500","2,404.90","17,059","3,437",34.5,41,0.201,49.415
Jordan,"7,273,799","89,143.10","486,258","411,959",56.6,82,0.847,269.284
Kazakhstan,"16,440,586","2,751,305.60","19,176,002","5,143,802",312.9,6,0.268,"60,888.89"
Kenya,"44,353,691","595,242.00","2,787,554","619,267",14,75,0.222,306.311
Kiribati,"102,351","76,827.20","360,207","22,912",223.9,1,0.064,16.383
Kuwait,"3,368,572","24,748.90","132,346","833,479",247.4,136,6.298,"5,120.76"
Kyrgyzstan,"5,547,548","198,632.80","1,233,225","388,741",70.1,28,0.315,314.761
Laos,"6,769,727","229,731.80","1,132,801","229,657",33.9,29,0.203,142.315
Latvia,"2,050,317","76,660.20","651,138","295,474",144.1,27,0.454,"1,493.95"
Lebanon,"4,821,971","14,837.10","83,331","244,649",50.7,325,2.936,236.153
Lesotho,"2,074,465","30,548.60","163,853","31,804",15.3,68,0.194,39.455
Liberia,"4,294,077","108,550.20","511,067","114,861",26.7,40,0.225,24.239
Libya,"6,201,521","1,725,328.80","9,081,126","2,792,218",450.2,4,0.307,"7,045.39"
